Year,Count
1960,10276477
1961,10483000
1962,10742000
1963,10950000
1964,11167000
1965,11388000
1966,11651000
1967,11799000
1968,12009000
1969,12263000
1970,12507000
1971,12937000
1972,13177000
1973,13380000
1974,13723000
1975,13893000
1976,14033000
1977,14192000
1978,14358000
1979,14514000
1980,14692000
1981,14927000
1982,15178000
1983,15369000
1984,15544000
1985,15758000
1986,16018400
1987,16263900
1988,16532200
1989,16814400
1990,17065100
1991,17284000
1992,17495000
1993,17667000
1994,17855000
1995,18072000
1996,18311000
1997,18517000
1998,18711000
1999,18926000
2000,19153000
2001,19413000
2002,19651400
2003,19895400
2004,20127400
2005,20394800
2006,20697900
2007,20827600
2008,21249200
2009,21691700
2010,22031750
2011,22340024
2012,22733465
2013,23128129
2014,23475686
2015,23815995
2016,24190907
2017,24601860
